domain,country,task,method,model,scoring_policy,regime,n_origins,n_pit_cells,crps,qwcrps,energy_score,variogram_score,coverage80,coverage95,width80,width95,pit_mean,pit_ks,pit_cvm
us_class8,US,unconditional,equal_penalty,Equal penalties,raw,crisis,10,960,0.8889541274905683,0.928462384292003,14.092054890748297,0.4367493805777607,0.66875,0.8340277777777778,2.330072617839219,4.022356896983265,0.48793324730824733,0.091599025974026,2.199525059037422
us_class8,US,unconditional,full_gibvar,Soft graph guidance,raw,crisis,10,960,0.8832723922414669,0.9208804962737022,13.989233793974202,0.42875791233214355,0.6725694444444444,0.8309027777777779,2.333735661260169,3.9364415916898308,0.4799207736707737,0.09344405594405593,2.379095476132814
us_class8,US,unconditional,forced_graph,Forced preferred edges,raw,crisis,10,960,0.9120813910289138,0.9449299723240662,14.167983631061778,0.4275410207331837,0.632638888888889,0.8274305555555556,2.337990274754916,3.784605070401536,0.4672348484848484,0.11852938727938729,4.121219717123813
