domain,country,task,method,model,scoring_policy,regime,n_origins,n_pit_cells,crps,qwcrps,energy_score,variogram_score,coverage80,coverage95,width80,width95,pit_mean,pit_ks,pit_cvm
us_class8,US,unconditional,equal_penalty,Equal penalties,raw,overall,19,1824,0.6319306494502065,0.6379552618327665,9.486103331787337,0.28840426592756396,0.7730263157894737,0.8983918128654972,2.186613403295125,3.7282697384337276,0.4828248323314113,0.04026620309515039,0.971490398680807
us_class8,US,unconditional,full_gibvar,Soft graph guidance,raw,overall,19,1824,0.6293174343974154,0.6343965487026701,9.434853685187402,0.2843416350626777,0.7737573099415206,0.8965643274853801,2.188217649413325,3.689067753199235,0.4779751498501498,0.04804789508736873,1.3965843202831547
us_class8,US,unconditional,forced_graph,Forced preferred edges,raw,overall,19,1824,0.6577219307903793,0.6576294706286565,9.68432315472545,0.2883352743186983,0.7479897660818713,0.8969298245614034,2.2250836647087593,3.661461002815021,0.4649376573718679,0.06602279299647723,3.377645484346349
