task,domain,metric,model_a,model_b,regime,n_origins,a_wins,mean_difference_a_minus_b,ci95_low,ci95_high,interval_includes_zero,bootstrap,block_length,bootstrap_draws,seed
conditional,US,variogram,Student-t GIB-VAR,Gaussian GIB-VAR,calm,9,8,-0.004310,-0.006377,-0.001432,False,circular moving blocks over origins,3,2000,40961
conditional,US,variogram,Student-t GIB-VAR,Gaussian GIB-VAR,crisis,10,3,0.093299,-0.001740,0.235915,True,circular moving blocks over origins,3,2000,38779
conditional,US,crps,Student-t GIB-VAR,AR-t,overall,19,10,-0.048594,-0.187743,0.063385,True,circular moving blocks over origins,3,2000,56551
conditional,US,crps,Student-t GIB-VAR,AR-t,calm,9,4,0.011934,-0.009377,0.029637,True,circular moving blocks over origins,3,2000,58601
conditional,US,crps,Student-t GIB-VAR,AR-t,crisis,10,6,-0.103069,-0.311073,0.138154,True,circular moving blocks over origins,3,2000,29649
conditional,US,qwcrps,Student-t GIB-VAR,AR-t,overall,19,9,-0.065505,-0.201735,0.033721,True,circular moving blocks over origins,3,2000,42190
conditional,US,qwcrps,Student-t GIB-VAR,AR-t,calm,9,3,0.007432,-0.010150,0.023975,True,circular moving blocks over origins,3,2000,68373
conditional,US,qwcrps,Student-t GIB-VAR,AR-t,crisis,10,6,-0.131147,-0.327712,0.076362,True,circular moving blocks over origins,3,2000,30783
conditional,US,energy,Student-t GIB-VAR,AR-t,overall,19,13,-1.314890,-2.743435,-0.263864,False,circular moving blocks over origins,3,2000,67869
conditional,US,energy,Student-t GIB-VAR,AR-t,calm,9,5,-0.023903,-0.188685,0.116547,True,circular moving blocks over origins,3,2000,46892
conditional,US,energy,Student-t GIB-VAR,AR-t,crisis,10,8,-2.476778,-4.068870,-0.815992,False,circular moving blocks over origins,3,2000,99261
conditional,US,variogram,Student-t GIB-VAR,AR-t,overall,19,12,-0.011168,-0.132339,0.119547,True,circular moving blocks over origins,3,2000,98894
conditional,US,variogram,Student-t GIB-VAR,AR-t,calm,9,6,-0.004118,-0.011253,0.002057,True,circular moving blocks over origins,3,2000,49678
conditional,US,variogram,Student-t GIB-VAR,AR-t,crisis,10,6,-0.017513,-0.211836,0.227561,True,circular moving blocks over origins,3,2000,24540
