generator,crps,qwcrps,energy,variogram,cov80,cov95,width80,width95,pit_ks,n_origins
Gaussian VAR,0.733847,0.680755,9.759570,0.319095,0.597327,0.762740,1.605351,2.447031,0.127587,19
AR-t,0.650683,0.627238,9.182028,0.300933,0.743317,0.883459,1.935300,3.421832,0.054739,19
Gaussian GIB-VAR,0.600208,0.556546,8.029265,0.242702,0.742481,0.870718,1.991573,3.059976,0.056387,19
Student-t GIB-VAR,0.602089,0.561734,7.867138,0.289765,0.807644,0.921261,2.692090,4.229629,0.061859,19
Minnesota BVAR,0.618358,0.562090,8.292315,0.267174,0.782373,0.892439,2.128607,3.303263,0.054936,19
