origin,crisis_overlap,GIB-VAR,Gaussian VAR,Minnesota BVAR,AR-t,best
2015Q4,False,0.411483,0.978182,0.442354,0.289623,AR-t
2016Q4,False,0.303669,0.444213,0.337352,0.267908,AR-t
2017Q4,True,0.985647,1.113521,0.956545,0.974210,Minnesota BVAR
2018Q4,True,1.152279,1.153189,1.158514,1.154485,GIB-VAR
2019Q4,True,1.460029,1.525969,1.482104,1.476743,GIB-VAR
2020Q4,True,0.895461,0.940372,0.929246,1.030273,GIB-VAR
2021Q4,False,0.813583,1.143041,0.804637,0.824765,Minnesota BVAR
2022Q4,False,0.680097,1.957904,1.109732,0.434813,AR-t
