generator,crps,qwcrps,energy,variogram,cov80,cov95,width80,width95,pit_ks,n_origins
GIB-VAR,0.837781,0.710703,21.098739,0.606613,0.795139,0.909722,2.197464,4.041564,0.086961,8
Gaussian VAR,1.157049,0.984509,25.121264,0.755270,0.597656,0.753472,1.879140,2.865601,0.139778,8
Minnesota BVAR,0.902561,0.761970,22.024864,0.642388,0.785590,0.865451,2.168243,3.361845,0.070366,8
AR-t,0.806603,0.705673,20.364183,0.583499,0.738715,0.861979,1.689209,3.045379,0.087833,8
