generator,crps,qwcrps,energy,variogram,cov80,cov95,width80,width95,pit_ks,n_origins
GIB-VAR,0.629317,0.634397,9.434854,0.284342,0.773757,0.896564,2.188218,3.689068,0.048048,19
Gaussian VAR,0.794313,0.747954,11.295476,0.354693,0.684028,0.816703,1.893215,2.887833,0.084561,19
Minnesota BVAR,0.656339,0.647840,9.657128,0.296254,0.803363,0.903692,2.393368,3.720962,0.067868,19
AR-t,0.649635,0.645802,9.747492,0.292762,0.750000,0.881031,1.893181,3.312338,0.045234,19
