origin,crisis_overlap,Gaussian VAR,AR-t,Gaussian GIB-VAR,Student-t GIB-VAR,Minnesota BVAR,best
2015Q4,False,0.595358,0.277570,0.546387,0.549216,0.506663,AR-t
2016Q4,False,0.482980,0.247948,0.320514,0.317534,0.402788,AR-t
2017Q4,True,1.277337,1.060281,1.182753,1.113310,1.184327,AR-t
2018Q4,True,1.364973,1.291835,1.307546,1.319799,1.285009,Minnesota BVAR
2019Q4,True,1.686959,1.632691,1.601801,1.695570,1.618085,Gaussian GIB-VAR
2020Q4,True,1.085154,1.096392,1.305753,1.173796,1.041832,Minnesota BVAR
2021Q4,False,1.160936,0.918963,0.932286,0.919575,0.912750,Minnesota BVAR
2022Q4,False,0.868927,0.466984,0.754869,0.738050,0.740783,AR-t
