generator,crps,qwcrps,energy,variogram,cov80,cov95,width80,width95,pit_ks,n_origins
Gaussian VAR,1.065328,0.912029,22.874349,0.689653,0.589286,0.718750,1.601673,2.444421,0.150745,8
AR-t,0.874083,0.761803,20.262742,0.670969,0.740575,0.852679,1.725968,3.176891,0.097163,8
Gaussian GIB-VAR,0.993989,0.830969,21.914313,0.659114,0.740079,0.872024,2.336457,3.668502,0.079108,8
Student-t GIB-VAR,0.978356,0.810638,21.817626,0.638986,0.736607,0.870536,2.243884,3.583598,0.083084,8
Minnesota BVAR,0.961530,0.806432,21.711834,0.698764,0.748016,0.848214,2.052073,3.152497,0.095748,8
