task,domain,metric,model_a,model_b,regime,n_origins,a_wins,mean_difference_a_minus_b,ci95_low,ci95_high,interval_includes_zero,bootstrap,block_length,bootstrap_draws,seed
conditional,UK,variogram,Student-t GIB-VAR,Gaussian GIB-VAR,calm,4,3,-0.000382,-0.003416,0.008700,True,circular moving blocks over origins,3,2000,40961
conditional,UK,variogram,Student-t GIB-VAR,Gaussian GIB-VAR,crisis,4,3,-0.039874,-0.069450,0.048856,True,circular moving blocks over origins,3,2000,38779
conditional,UK,crps,Student-t GIB-VAR,AR-t,overall,8,0,0.104273,0.046559,0.185037,False,circular moving blocks over origins,3,2000,56551
conditional,UK,crps,Student-t GIB-VAR,AR-t,calm,4,0,0.153227,0.000612,0.220986,False,circular moving blocks over origins,3,2000,58601
conditional,UK,crps,Student-t GIB-VAR,AR-t,crisis,4,0,0.055319,0.040497,0.077405,False,circular moving blocks over origins,3,2000,29649
conditional,UK,qwcrps,Student-t GIB-VAR,AR-t,overall,8,2,0.048835,-0.000311,0.113430,True,circular moving blocks over origins,3,2000,42190
conditional,UK,qwcrps,Student-t GIB-VAR,AR-t,calm,4,1,0.093470,-0.017668,0.136478,True,circular moving blocks over origins,3,2000,68373
conditional,UK,qwcrps,Student-t GIB-VAR,AR-t,crisis,4,1,0.004199,-0.000540,0.018416,True,circular moving blocks over origins,3,2000,30783
conditional,UK,energy,Student-t GIB-VAR,AR-t,overall,8,0,1.554884,0.955336,2.226268,False,circular moving blocks over origins,3,2000,67869
conditional,UK,energy,Student-t GIB-VAR,AR-t,calm,4,0,1.817147,0.293492,2.591187,False,circular moving blocks over origins,3,2000,46892
conditional,UK,energy,Student-t GIB-VAR,AR-t,crisis,4,0,1.292621,0.775816,2.450574,False,circular moving blocks over origins,3,2000,99261
conditional,UK,variogram,Student-t GIB-VAR,AR-t,overall,8,4,-0.031983,-0.131225,0.069765,True,circular moving blocks over origins,3,2000,98894
conditional,UK,variogram,Student-t GIB-VAR,AR-t,calm,4,0,0.066140,0.007874,0.103081,False,circular moving blocks over origins,3,2000,49678
conditional,UK,variogram,Student-t GIB-VAR,AR-t,crisis,4,4,-0.130107,-0.173462,-0.079624,False,circular moving blocks over origins,3,2000,24540
